Date and Time,Aggregated Power,Voltage,Current,Power,Appliance
2024-08-01 09:00:00,807.695,231,3.503,807.695,Toaster
2024-08-01 09:00:00,2337.948,230,6.624,1530.253,Iron
2024-08-01 09:00:00,2836.935,232,2.566,498.987,Washing Machine
2024-08-01 09:06:12,1502.567,232,6.463,1502.567,Iron
2024-08-01 09:06:12,3021.421,231,6.548,1518.854,Electric Kettle
2024-08-01 09:06:12,3817.567,233,3.458,796.147,Toaster
2024-08-01 09:15:57,1513.373,233,6.566,1513.373,Electric Kettle
2024-08-01 09:15:57,2713.137,232,5.209,1199.764,Coffee Machine
2024-08-01 09:15:57,2890.099,231,0.856,176.962,Desktop Computer
2024-08-01 09:22:52,1223.553,232,5.208,1223.553,Coffee Machine
2024-08-01 09:22:52,1401.764,230,0.875,178.212,Desktop Computer
2024-08-01 09:22:52,1900.885,233,2.54,499.121,Washing Machine
2024-08-01 09:28:05,1527.294,231,6.618,1527.294,Electric Kettle
2024-08-01 09:28:05,1706.937,231,0.857,179.643,Desktop Computer
2024-08-01 09:28:05,2497.078,232,3.4,790.141,Toaster
2024-08-01 09:33:18,1498.099,233,6.464,1498.099,Iron
2024-08-01 09:33:18,3033.426,232,6.495,1535.327,Electric Kettle
2024-08-01 09:33:18,3543.058,232,2.578,509.632,Washing Machine
2024-08-01 09:42:58,1220.419,230,5.246,1220.419,Coffee Machine
2024-08-01 09:42:58,2743.749,231,6.476,1523.33,Iron
2024-08-01 09:42:58,3538.932,232,3.497,795.182,Toaster
2024-08-01 09:48:05,1473.09,232,6.43,1473.09,Electric Kettle
2024-08-01 09:48:05,1978.134,231,2.619,505.044,Washing Machine
2024-08-01 09:48:05,3519.556,233,6.505,1541.423,Iron
2024-08-01 09:55:07,1490.298,230,6.443,1490.298,Electric Kettle
2024-08-01 09:55:07,1995.052,231,2.53,504.754,Washing Machine
2024-08-01 09:55:07,3543.903,230,6.629,1548.85,Iron
2024-08-01 10:02:31,1037.97,231,5.286,1037.97,Vacuum Cleaner
2024-08-01 10:02:31,7965.216,230,35.422,6927.246,6 Ton AC
2024-08-01 10:02:31,8225.79,230,1.32,260.575,Refrigerator
2024-08-01 10:11:24,1045.898,233,5.234,1045.898,Vacuum Cleaner
2024-08-01 10:11:24,1918.418,233,3.949,872.521,Microwave Oven
2024-08-01 10:11:24,2110.579,232,0.855,192.16,TV
2024-08-01 10:17:03,255.953,233,1.292,255.953,Refrigerator
2024-08-01 10:17:03,1277.944,230,5.296,1021.991,Vacuum Cleaner
2024-08-01 10:17:03,1467.584,232,0.868,189.64,TV
2024-08-01 10:22:44,7198.011,231,36.232,7198.011,6 Ton AC
2024-08-01 10:22:44,7452.833,232,1.294,254.822,Refrigerator
2024-08-01 10:22:44,8328.65,233,3.895,875.817,Microwave Oven
2024-08-01 10:30:32,994.855,231,5.141,994.855,Vacuum Cleaner
2024-08-01 10:30:32,1248.421,231,1.305,253.566,Refrigerator
2024-08-01 10:30:32,8231.721,231,35.733,6983.3,6 Ton AC
2024-08-01 10:36:53,251.876,232,1.27,251.876,Refrigerator
2024-08-01 10:36:53,1122.989,232,4.016,871.114,Microwave Oven
2024-08-01 10:36:53,7990.126,233,34.854,6867.137,6 Ton AC
2024-08-01 10:42:58,7090.026,231,35.999,7090.026,6 Ton AC
2024-08-01 10:42:58,7337.238,231,1.282,247.211,Refrigerator
2024-08-01 10:42:58,7528.408,233,0.857,191.17,TV
2024-08-01 10:48:59,190.715,233,0.859,190.715,TV
2024-08-01 10:48:59,1085.831,232,4.015,895.115,Microwave Oven
2024-08-01 10:48:59,2116.118,230,5.316,1030.288,Vacuum Cleaner
2024-08-01 10:55:59,187.388,232,0.859,187.388,TV
2024-08-01 10:55:59,7260.439,232,35.492,7073.052,6 Ton AC
2024-08-01 10:55:59,7510.435,232,1.289,249.996,Refrigerator
2024-08-01 11:04:18,905.091,232,4.031,905.091,Microwave Oven
2024-08-01 11:04:18,1097.976,231,0.868,192.886,TV
2024-08-01 11:04:18,2129.619,231,5.181,1031.643,Vacuum Cleaner
2024-08-01 11:12:19,194.48,232,0.869,194.48,TV
2024-08-01 11:12:19,1069.47,233,4.01,874.99,Microwave Oven
2024-08-01 11:12:19,1312.837,233,1.251,243.368,Refrigerator
2024-08-01 11:21:19,1027.32,230,5.227,1027.32,Vacuum Cleaner
2024-08-01 11:21:19,1907.225,231,3.984,879.904,Microwave Oven
2024-08-01 11:21:19,2165.46,230,1.312,258.235,Refrigerator
2024-08-01 11:28:32,1030.634,233,5.109,1030.634,Vacuum Cleaner
2024-08-01 11:28:32,7963.661,230,36.157,6933.027,6 Ton AC
2024-08-01 11:28:32,8219.056,231,1.292,255.395,Refrigerator
2024-08-01 11:37:58,255.721,230,1.292,255.721,Refrigerator
2024-08-01 11:37:58,1274.14,231,5.192,1018.419,Vacuum Cleaner
2024-08-01 11:37:58,1459.555,232,0.851,185.415,TV
2024-08-01 11:45:27,1026.536,232,5.139,1026.536,Vacuum Cleaner
2024-08-01 11:45:27,1221.228,232,0.883,194.692,TV
2024-08-01 11:45:27,8030.323,231,35.088,6809.095,6 Ton AC
2024-08-01 11:50:59,7171.445,230,36.234,7171.445,6 Ton AC
2024-08-01 11:50:59,7361.275,233,0.851,189.83,TV
2024-08-01 11:50:59,8233.005,233,3.959,871.73,Microwave Oven
2024-08-01 11:57:22,192.27,231,0.879,192.27,TV
2024-08-01 11:57:22,1055.851,232,3.971,863.581,Microwave Oven
2024-08-01 11:57:22,8040.02,233,35.671,6984.169,6 Ton AC
2024-08-01 12:04:16,245.592,231,1.276,245.592,Refrigerator
